"","country","year","repression","indoctrination","electdem","legacy","startyear","endyear"
"1","Albania",1988,0.034,-1.5529,0.168,"Left-Wing",1920,1990
"2","Albania",1987,0.034,-1.61156666666667,0.169,"Left-Wing",1920,1990
"3","Albania",1989,0.035,-1.5529,0.168,"Left-Wing",1920,1990
"4","Albania",1991,0.694,-0.0082,0.301,"Left-Wing",1920,1990
"5","Albania",2001,0.835,0.0587777777777778,0.447,"Left-Wing",1920,1990
"6","Albania",2002,0.846,0.0836222222222222,0.479,"Left-Wing",1920,1990
"7","Albania",2000,0.819,0.0392444444444445,0.423,"Left-Wing",1920,1990
"8","Albania",1986,0.034,-1.61156666666667,0.175,"Left-Wing",1920,1990
"9","Albania",1992,0.75,0.142377777777778,0.428,"Left-Wing",1920,1990
"10","Albania",1993,0.739,0.0951333333333333,0.456,"Left-Wing",1920,1990
"11","Albania",1990,0.042,-1.31096666666667,0.175,"Left-Wing",1920,1990
"12","Albania",2016,0.886,0.373211111111111,0.508,"Left-Wing",1920,1990
"13","Albania",1918,0.446,1.06214444444444,0.101,"Left-Wing",1920,1990
"14","Albania",2014,0.875,0.374344444444444,0.514,"Left-Wing",1920,1990
"15","Albania",2015,0.886,0.374344444444444,0.508,"Left-Wing",1920,1990
"16","Albania",1994,0.752,0.0261555555555556,0.426,"Left-Wing",1920,1990
"17","Albania",2004,0.874,-0.00667777777777776,0.507,"Left-Wing",1920,1990
"18","Albania",2005,0.873,0.0081888888888889,0.531,"Left-Wing",1920,1990
"19","Albania",2006,0.878,-0.0679,0.565,"Left-Wing",1920,1990
"20","Albania",1985,0.034,-1.61156666666667,0.175,"Left-Wing",1920,1990
"21","Albania",1999,0.811,0.0552222222222222,0.445,"Left-Wing",1920,1990
"22","Albania",1944,0.108,-0.438077777777778,0.055,"Left-Wing",1920,1990
"23","Albania",1945,0.031,-1.12572222222222,0.051,"Left-Wing",1920,1990
"24","Albania",1946,0.028,-1.34661111111111,0.139,"Left-Wing",1920,1990
"25","Albania",1947,0.024,-1.4687,0.178,"Left-Wing",1920,1990
"26","Albania",1948,0.023,-1.49301111111111,0.179,"Left-Wing",1920,1990
"27","Albania",1949,0.022,-1.49305555555556,0.174,"Left-Wing",1920,1990
"28","Albania",1950,0.021,-1.52952222222222,0.176,"Left-Wing",1920,1990
"29","Albania",2007,0.888,-0.0533222222222222,0.573,"Left-Wing",1920,1990
"30","Albania",1995,0.757,0.0455333333333333,0.431,"Left-Wing",1920,1990
"31","Albania",1996,0.765,0.0394222222222222,0.422,"Left-Wing",1920,1990
"32","Albania",1984,0.023,-1.61156666666667,0.175,"Left-Wing",1920,1990
"33","Albania",1998,0.748,0.00346666666666668,0.444,"Left-Wing",1920,1990
"34","Albania",1983,0.023,-1.61156666666667,0.175,"Left-Wing",1920,1990
"35","Albania",1957,0.024,-1.58194444444444,0.174,"Left-Wing",1920,1990
"36","Albania",1958,0.024,-1.58194444444444,0.176,"Left-Wing",1920,1990
"37","Albania",1919,0.47,1.06641111111111,0.132,"Left-Wing",1920,1990
"38","Albania",1920,0.501,1.32296666666667,0.149,"Left-Wing",1920,1990
"39","Albania",2003,0.857,-0.0592777777777778,0.482,"Left-Wing",1920,1990
"40","Albania",1922,0.508,1.3163,0.24,"Left-Wing",1920,1990
"41","Albania",1923,0.506,1.0833,0.221,"Left-Wing",1920,1990
"42","Albania",1951,0.021,-1.5299,0.177,"Left-Wing",1920,1990
"43","Albania",1952,0.021,-1.5325,0.177,"Left-Wing",1920,1990
"44","Albania",1953,0.021,-1.5325,0.177,"Left-Wing",1920,1990
"45","Albania",1997,0.751,0.0762222222222222,0.391,"Left-Wing",1920,1990
"46","Albania",1982,0.023,-1.61156666666667,0.175,"Left-Wing",1920,1990
"47","Albania",1956,0.023,-1.58194444444444,0.174,"Left-Wing",1920,1990
"48","Albania",2012,0.888,-0.0503,0.567,"Left-Wing",1920,1990
"49","Albania",2013,0.881,0.368322222222222,0.554,"Left-Wing",1920,1990
"50","Albania",1931,0.387,0.777088888888889,0.144,"Left-Wing",1920,1990
"51","Albania",1932,0.381,0.777088888888889,0.153,"Left-Wing",1920,1990
"52","Albania",1933,0.365,0.777088888888889,0.174,"Left-Wing",1920,1990
"53","Albania",2017,0.887,0.499677777777778,0.557,"Left-Wing",1920,1990
"54","Albania",2018,0.867,0.369277777777778,0.519,"Left-Wing",1920,1990
"55","Albania",1924,0.482,1.04103333333333,0.155,"Left-Wing",1920,1990
"56","Albania",1925,0.378,0.916533333333333,0.187,"Left-Wing",1920,1990
"57","Albania",2008,0.888,-0.0533222222222222,0.573,"Left-Wing",1920,1990
"58","Albania",1954,0.021,-1.5325,0.176,"Left-Wing",1920,1990
"59","Albania",1955,0.021,-1.5825,0.176,"Left-Wing",1920,1990
"60","Albania",1942,0.214,-0.386544444444444,0.053,"Left-Wing",1920,1990
"61","Albania",1943,0.206,-0.4304,0.058,"Left-Wing",1920,1990
"62","Albania",1916,0.405,1.20878888888889,0.099,"Left-Wing",1920,1990
"63","Albania",1917,0.405,1.20878888888889,0.099,"Left-Wing",1920,1990
"64","Albania",1930,0.399,0.777088888888889,0.144,"Left-Wing",1920,1990
"65","Albania",1970,0.021,-1.60916666666667,0.187,"Left-Wing",1920,1990
"66","Albania",1921,0.495,1.3205,0.226,"Left-Wing",1920,1990
"67","Albania",1959,0.024,-1.58194444444444,0.177,"Left-Wing",1920,1990
"68","Albania",1960,0.021,-1.58194444444444,0.177,"Left-Wing",1920,1990
"69","Albania",1961,0.021,-1.54854444444444,0.177,"Left-Wing",1920,1990
"70","Albania",1962,0.021,-1.54854444444444,0.173,"Left-Wing",1920,1990
"71","Albania",1912,0.47,1.00847777777778,0.108,"Left-Wing",1920,1990
"72","Albania",1913,0.47,1.00847777777778,0.108,"Left-Wing",1920,1990
"73","Albania",1914,0.448,0.961033333333333,0.106,"Left-Wing",1920,1990
"74","Albania",1915,0.356,1.14845555555556,0.081,"Left-Wing",1920,1990
"75","Albania",1928,0.39,0.759555555555556,0.181,"Left-Wing",1920,1990
"76","Albania",1929,0.39,0.759555555555556,0.148,"Left-Wing",1920,1990
"77","Albania",1968,0.021,-1.54854444444444,0.192,"Left-Wing",1920,1990
"78","Albania",1969,0.021,-1.54854444444444,0.192,"Left-Wing",1920,1990
"79","Albania",1971,0.021,-1.6093,0.175,"Left-Wing",1920,1990
"80","Albania",1972,0.021,-1.6093,0.175,"Left-Wing",1920,1990
"81","Albania",1934,0.382,0.777088888888889,0.174,"Left-Wing",1920,1990
"82","Albania",1935,0.37,0.778422222222222,0.175,"Left-Wing",1920,1990
"83","Albania",1936,0.37,0.769622222222222,0.175,"Left-Wing",1920,1990
"84","Albania",1963,0.021,-1.54854444444444,0.169,"Left-Wing",1920,1990
"85","Albania",2009,0.884,-0.0734333333333334,0.596,"Left-Wing",1920,1990
"86","Albania",2010,0.876,-0.0659,0.584,"Left-Wing",1920,1990
"87","Albania",2011,0.874,-0.0831,0.584,"Left-Wing",1920,1990
